cnpj_estabelecimento,cbo_2002,cbo_titulo,sexo,raca_cor,salario_contratual_mensal,remuneracao_total_mensal,data_competencia
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5808.5,6233.09,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5808.5,6427.16,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5808.5,6329.23,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5808.5,6045.79,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6402.2,6581.87,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6402.2,6596.96,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6402.2,6534.51,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6402.2,6728.84,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6402.2,6803.19,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6402.2,6757.47,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6402.2,6759.5,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6402.2,6752.69,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6402.2,6696.95,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6402.2,6579.73,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6402.2,7053.56,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6402.2,6923.51,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6193.96,6334.89,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6193.96,6335.45,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6193.96,6394.72,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6193.96,6509.8,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6193.96,6737.61,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6193.96,6692.24,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6193.96,6702.07,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6193.96,6705.8,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6193.96,6709.25,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6193.96,6640.55,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6193.96,6588.11,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6193.96,6481.54,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6093.65,6079.56,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6093.65,6374.71,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6093.65,6727.75,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6093.65,6299.62,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6093.65,6283.95,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6093.65,6584.33,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6093.65,6413.07,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6093.65,6310.57,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6093.65,6683.09,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6093.65,6512.43,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6093.65,6536.82,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6093.65,6295.12,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,5871.01,6252.11,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,5871.01,6230.87,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,5871.01,6301.43,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,5871.01,6366.96,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,5871.01,6362.9,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,5871.01,6194.59,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,5871.01,6286,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,5871.01,5962.88,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,5871.01,6277.92,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,5871.01,6285.09,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,5871.01,6096.07,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,5871.01,6028.28,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5599.33,5869.43,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5599.33,5675.46,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5599.33,5936.56,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5599.33,5928.8,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5599.33,5719.96,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5599.33,5887.29,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5599.33,6058.65,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5599.33,6057.79,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5599.33,6049.05,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5599.33,5854.04,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5599.33,5822.5,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5599.33,5813.64,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,7498.7,8006.96,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,7498.7,8402.71,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,7498.7,8189.71,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,7498.7,8230.37,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,7498.7,8177.31,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,7498.7,7510.83,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,7498.7,7828.48,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,7498.7,7776.31,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,7498.7,8154.74,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,7498.7,8253.46,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,7498.7,7724.28,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,7498.7,7882.33,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6290.5,6710.17,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6290.5,6512.85,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6290.5,6486.41,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6290.5,6477.18,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6290.5,6772.02,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6290.5,6433.46,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6290.5,6819.28,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6290.5,6621.42,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6290.5,6746.88,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6290.5,6896.6,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6290.5,6478.79,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,6290.5,6450.91,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5520.15,5866.83,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5520.15,5625.31,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5520.15,5675.26,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5520.15,5777.37,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5520.15,5822.13,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5520.15,5590.25,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5520.15,5732.88,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5520.15,5892.61,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5520.15,6018.56,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5520.15,5471.68,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5520.15,6012.07,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,5520.15,5941.88,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5836.37,5938.61,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5836.37,5871.37,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5836.37,6201.1,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5836.37,6054.93,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5836.37,6151.95,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5836.37,6278.45,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5836.37,6063.25,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5836.37,6156.52,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5836.37,6211.11,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5836.37,6283.3,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5836.37,6435.51,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,5836.37,6424.88,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,7625.69,8061.93,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,7625.69,7953.16,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,7625.69,8547.65,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,7625.69,8152.89,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,7625.69,8104.34,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,7625.69,7756.27,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,7625.69,8184.32,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,7625.69,7830.12,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,7625.69,7902.76,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,7625.69,7703.07,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,7625.69,7888.94,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,branca,7625.69,8021.2,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5803.29,5833.61,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5803.29,5938.48,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5803.29,6080,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5803.29,5874.75,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5803.29,5876.6,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5803.29,5949.41,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5803.29,5849.73,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5803.29,6199.93,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5803.29,5921.38,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5803.29,6226.8,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5803.29,6253.78,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5803.29,5885.9,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,6213.45,6531.72,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,6213.45,6435.31,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,6213.45,6313.1,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,6213.45,6462.02,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,6213.45,6479.36,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,6213.45,6656.13,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,6213.45,6714.56,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,6213.45,6319.83,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,6213.45,6448.73,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,6213.45,6622.66,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,6213.45,6742.92,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,6213.45,6070.4,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,4456.43,4849.66,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,4456.43,4656.88,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,4456.43,4883.56,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,4456.43,4622.77,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,4456.43,4568.47,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,4456.43,4685.25,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,4456.43,4835.21,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,4456.43,4683.34,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,4456.43,4364.82,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,4456.43,4770.52,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,4456.43,4464.54,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,4456.43,4548.72,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,preta,6784.64,6887.91,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,preta,6784.64,6750.49,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,preta,6784.64,6869.36,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,preta,6784.64,6923.21,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,preta,6784.64,6999.46,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,preta,6784.64,7113.03,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,preta,6784.64,7055.89,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,preta,6784.64,6822.55,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,M,preta,6784.64,7086.89,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,preta,6784.64,7321.86,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,preta,6784.64,7316.87,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,preta,6784.64,7151.28,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,4212.51,4501.41,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,4212.51,4535.9,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,4212.51,4595.21,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,4212.51,4637.52,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,4212.51,4382.66,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,4212.51,4388.8,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,4212.51,4609.26,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,4212.51,4620.42,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,4212.51,4617.84,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,4212.51,4126.97,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,4212.51,4395.37,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,parda,4212.51,4011.72,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5039.29,5401.61,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5039.29,5299.66,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5039.29,5299.14,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5039.29,5270.44,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5039.29,5488.3,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5039.29,5246.94,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5039.29,5447.44,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5039.29,5374.95,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5039.29,5345.2,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5039.29,5361.19,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5039.29,5307.99,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,5039.29,5125.91,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,M,amarela,7393.6,7922.14,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,M,amarela,7393.6,7921.5,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,M,amarela,7393.6,7731.37,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,M,amarela,7393.6,7925.36,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,M,amarela,7393.6,7962.67,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,M,amarela,7393.6,7479.03,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,M,amarela,7393.6,7731.75,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,M,amarela,7393.6,7664.96,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,M,amarela,7393.6,7562.51,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,M,amarela,7393.6,7834.77,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,M,amarela,7393.6,7576.26,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,M,amarela,7393.6,7666.93,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,4614.93,4879.65,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,4614.93,4894.11,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,4614.93,4890.19,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,4614.93,5154.96,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,4614.93,4775.94,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,4614.93,4880.31,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,4614.93,4678.73,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,4614.93,4912.32,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,4614.93,5005.37,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,4614.93,5013.73,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,4614.93,4757.65,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,F,parda,4614.93,4806.99,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,7106.74,7731.22,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,7106.74,7442.17,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,7106.74,7666.47,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,7106.74,7254.75,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,7106.74,7757.01,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,7106.74,7681.09,2025-02
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,7106.74,7561.01,2025-03
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,7106.74,7291.83,2025-04
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,7106.74,7428.03,2025-05
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,7106.74,7494.33,2025-06
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,7106.74,7518.24,2025-07
12.345.678/0001-01,252210,Analista de recursos humanos,F,preta,7106.74,7439.74,2025-08
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5481.63,5719.79,2024-09
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5481.63,5787.36,2024-10
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5481.63,5985.21,2024-11
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5481.63,5425.52,2024-12
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5481.63,5530.11,2025-01
12.345.678/0001-01,252210,Analista de recursos humanos,F,branca,5481.63,5501.66,2025-02
